date,leg,day_type,city,country,venue,venue_address,capacity,guarantee_usd,doors_local,set_time_local,curfew_local,promoter,promoter_rep,notes
2025-09-22,leg_mx,travel,LAX → CDMX,MX,,,,,,,,,Tour kickoff. Group flight AM 19.
2025-09-23,leg_mx,rehearsal,Mexico City,MX,Foro Indie Rocks (rented),"Calle Zacatecas 39, Roma Norte, 06700 CDMX",,,,,Self,,Production rehearsal.
2025-09-24,leg_mx,rehearsal,Mexico City,MX,Foro Indie Rocks (rented),"Calle Zacatecas 39, Roma Norte, 06700 CDMX",,,,,Self,,Production rehearsal.
2025-09-25,leg_mx,show,Mexico City,MX,Auditorio Nacional,"Paseo de la Reforma 50, Bosque de Chapultepec I Secc, 11580 CDMX",9683,65000,20:00,21:30,23:30,OCESA,Pablo Espinosa,Tier A. Carnet checkpoint clear.
2025-09-26,leg_mx,off,Mexico City,MX,,,,,,,,,Day off.
2025-09-27,leg_mx,travel,CDMX → MTY,MX,,,,,,,,,VivaAerobus VB 1014.
2025-09-28,leg_mx,show,Monterrey,MX,Auditorio Banamex,"Av. Fundadores S/N, La Estanzuela, 64988 Monterrey",8500,45000,20:00,21:30,23:30,OCESA,Pablo Espinosa,
2025-09-29,leg_mx,travel,MTY → GDL,MX,,,,,,,,,
2025-09-30,leg_mx,show,Guadalajara,MX,Auditorio Telmex,"Av. Periférico Norte Manuel Gómez Morín 1695, 45129 Zapopan",11000,50000,20:00,21:30,23:30,OCESA,Pablo Espinosa,
2025-10-01,leg_mx,off,Guadalajara,MX,,,,,,,,,Day off.
2025-10-02,leg_mx,travel,GDL → LAX,US,,,,,,,,,Aeroméxico. End MX leg.
2025-10-03,leg_us,show,Los Angeles,US,The Greek Theatre,"2700 N Vermont Ave, Los Angeles, CA 90027",5900,75000,19:00,20:30,22:30,Live Nation,Rachel Kim,Tier A. US opener leg.
2025-10-04,leg_us,off,Los Angeles,US,,,,,,,,,
2025-10-05,leg_us,promo,Los Angeles,US,,,,,,,,,Press: NPR Alt.Latino + Billboard photoshoot + VIP meet & greet.
2025-10-06,leg_us,travel,LA → SF,US,,,,,,,,,Bus 1 (Hemphill Brothers) overnight.
2025-10-07,leg_us,show,Oakland,US,Fox Theater,"1807 Telegraph Ave, Oakland, CA 94612",2800,38000,19:00,20:30,22:30,Another Planet Ent.,Maya Otonari,
2025-10-08,leg_us,travel,SFO → MIA,US,,,,,,,,,
2025-10-09,leg_us,show,Miami,US,James L. Knight Center,"400 SE 2nd Ave, Miami, FL 33131",4500,45000,19:30,20:30,23:00,Live Nation,Rachel Kim,
2025-10-10,leg_us,off,Miami,US,,,,,,,,,
2025-10-11,leg_us,travel,MIA → BOG,CO,,,,,,,,,Start SA leg. Carnet at customs.
2025-10-12,leg_sa,show,Bogotá,CO,Movistar Arena,"Calle 5 #39A-2 a 39A-40, Bogotá",14000,55000,20:00,21:30,23:30,Páramo Presenta,Carolina Ruiz,Tier A.
2025-10-13,leg_sa,off,Bogotá,CO,,,,,,,,,
2025-10-14,leg_sa,travel,BOG → LIM,PE,,,,,,,,,
2025-10-15,leg_sa,show,Lima,PE,Anfiteatro Parque de la Exposición,"Av. 28 de Julio s/n, Cercado de Lima 15046",6500,35000,20:00,21:30,23:00,Move Concerts,Mateo Salinas,
2025-10-16,leg_sa,off,Lima,PE,,,,,,,,,
2025-10-17,leg_sa,travel,LIM → SCL,CL,,,,,,,,,
2025-10-18,leg_sa,show,Santiago,CL,Movistar Arena,"Av. Beaucheff 1204, 8370993 Santiago",14800,50000,20:00,21:30,23:30,DG Medios,Lorena Briones,Tier A.
2025-10-19,leg_sa,off,Santiago,CL,,,,,,,,,
2025-10-20,leg_sa,travel,SCL → BUE,AR,,,,,,,,,
2025-10-21,leg_sa,show,Buenos Aires,AR,Movistar Arena,"Humboldt 450, C1414BSF CABA",15000,60000,20:00,21:30,23:30,DF Entertainment,Esteban Aráoz,Tier A. Tour wrap show.
2025-10-22,leg_sa,off,Buenos Aires,AR,,,,,,,,,Post-show + final settlement.
2025-10-23,leg_sa,travel,BUE → LAX,US,,,,,,,,,Tour wrap. Crew flights home.
